nome,kcal,P,C,G,grupo
"Arroz, integral, cozido",124.0,2.6,25.8,1.0,carboidratos
"Arroz, integral, cru",360.0,7.3,77.5,1.9,carboidratos
"Arroz, tipo 1, cozido",128.0,2.5,28.1,0.2,carboidratos
"Arroz, tipo 1, cru",358.0,7.2,78.8,0.3,carboidratos
"Arroz, tipo 2, cozido",130.0,2.6,28.2,0.4,carboidratos
"Arroz, tipo 2, cru",358.0,7.2,78.9,0.3,carboidratos
"Aveia, flocos, crua",394.0,13.9,66.6,8.5,carboidratos
"Biscoito, doce, maisena",443.0,8.1,75.2,12.0,carboidratos
"Biscoito, doce, recheado com chocolate",472.0,6.4,70.5,19.6,carboidratos
"Biscoito, doce, recheado com morango",471.0,5.7,71.0,19.6,frutas
"Biscoito, doce, wafer, recheado de chocolate",502.0,5.6,67.5,24.7,carboidratos
"Biscoito, doce, wafer, recheado de morango",513.0,4.5,67.4,26.4,frutas
"Biscoito, salgado, cream cracker",432.0,10.1,68.7,14.4,carboidratos
"Bolo, mistura para",419.0,6.2,84.7,6.1,carboidratos
"Bolo, pronto, aipim",324.0,4.4,47.9,12.7,carboidratos
"Bolo, pronto, chocolate",410.0,6.2,54.7,18.5,carboidratos
"Bolo, pronto, coco",333.0,5.7,52.3,11.3,carboidratos
"Bolo, pronto, milho",311.0,4.8,45.1,12.4,carboidratos
"Canjica, branca, crua",358.0,7.2,78.1,1.0,carboidratos
"Canjica, com leite integral",112.0,2.4,23.6,1.2,laticinios
"Cereais, milho, flocos, com sal",370.0,7.3,80.8,1.6,carboidratos
"Cereais, milho, flocos, sem sal",363.0,6.9,80.4,1.2,carboidratos
"Cereais, mingau, milho, infantil",394.0,6.4,87.3,1.1,carboidratos
"Cereais, mistura para vitamina, trigo, cevada e aveia",381.0,8.9,81.6,2.1,carboidratos
"Cereal matinal, milho",365.0,7.2,83.8,1.0,carboidratos
"Cereal matinal, milho, açúcar",377.0,4.7,88.8,0.7,carboidratos
"Creme de arroz, pó",386.0,7.0,83.9,1.2,carboidratos
"Creme de milho, pó",333.0,4.8,86.1,1.6,carboidratos
"Curau, milho verde",78.0,2.4,13.9,1.6,carboidratos
"Curau, milho verde, mistura para",402.0,2.2,79.8,13.4,carboidratos
"Farinha, de arroz, enriquecida",363.0,1.3,85.5,0.3,carboidratos
"Farinha, de centeio, integral",336.0,12.5,73.3,1.8,carboidratos
